,0
0,15.950254952788615
1,74.18915439059282
2,39.34321494881078
3,70.5154037875571
4,129.77361788008594
5,80.97233470240644
6,218.42082150744923
7,147.9859001315146
8,78.14593437878025
9,2.6272181642454756e+34
10,1.7546168872187638e+34
11,6.041667968086951e+32
12,2.953986979327798e+34
13,5.900129628815707e+33
14,3.971324161297758e+34
15,1.5410933414195354e+34
16,6.236692986539481e+33
17,4.047370468255949e+34
18,2.1444919665679314e+34
19,14.503484695630693
20,3.585777067422817e+34
21,1.3050145946546472e+34
22,-1886.6689899396406
23,1.2900197192712105e+34
24,9.16601497481872e+33
25,2.537619379518875e+34
26,15.401338574202168
27,
28,1.1151608284147308e+34
29,-6.4173072971961625e+34
30,6.617895317535281
31,
32,-2.6139165593415675e+35
33,
34,9.657326229328676
35,
36,-5.929440776962472e+33
37,1.279655502828531e+34
38,3.257578718735919e+35
39,
40,-6.499058569944198e+34
41,3.181893929774107e+34
42,-2.0941389669544114e+35
43,1.2062810041641656e+36
44,2.9071753583997436e+32
45,7.49787050902355e+33
46,5.87841379844827e+33
47,
48,8.78943364535394e+34
49,
50,
51,
52,2.6432308777495146e+34
53,5.144928271308086e+33
54,
55,
56,
57,
58,2.6660432527529567e+34
59,2.965999324476601e+33
60,2.302912232674069e+34
61,1.4646579264665083e+34
62,-7.751191456609844e+22
63,2.26275809102036e+34
64,1.133947025250109e+34
65,31.802325568240185
66,4.174816966303665e+33
67,
68,
69,7.162877526520373e+32
70,5.163644063484552e+33
71,
72,2.356728495754952e+34
73,
74,2.0505570918105814e+33
75,2.1751259300937623e+34
76,9.782940466605309e+33
77,1.3834554654916936e+34
78,6.59588008039301e+33
79,0.006166451376573488
80,2.1466598686464185e+34
81,2.9887183637704284e+33
82,2.3790054250498216e+34
83,2.7910479262643803e+33
84,1.3572042911860741e+34
85,1.501912413138803e+34
86,1.7022121371382278e+34
87,2.1229145767997973e+34
88,
89,
90,2.2953379235275534e+34
91,-179.26943299267552
92,-8337.68319296486
93,
94,
95,1.6295048580248476e+34
96,
97,4.8480334386439865e+33
98,1.7455612182737539e+34
99,1.5483847408954488e+34
100,
101,-2.283609339082993e+25
102,1.4807449974847018
103,-3058.3705001682188
104,
105,-3729.0472146120046
106,-9027.900325971832
107,
108,-3722.571471313192
109,10.667016748460531
110,
111,
112,6.177697032180994
113,35.037177840344455
114,19.686631156348668
115,
116,-6670.2891303080505
117,-5851.769389918628
118,0.9719055477897064
119,-7665.469398362774
120,51.621679788948356
121,-8570.526981650011
122,26.602254356020257
123,5.361975695341645e+33
124,1.4547437028066777e+34
125,2.6323329956246657
126,3.754724822261248e+33
127,-4.585922598647149e+33
128,-2629.440475652064
129,8.054120331466414e+33
130,-7762.329497018597
131,1.068583393443336e+34
132,47.770811357615905
133,20.55062362510061
134,-6.793754405821621e+33
135,-131.1041721612714
136,1.0153622653987536e+34
137,9.287977755876342e+33
138,31.500839269221203
139,-1429.0393358107128
140,1.2445734949614734e+34
141,7.559428749396587e+33
142,158.67009220670852
143,-2164.4328785563252
144,19.16490740811746
145,-7707.591188481852
146,3.161901027612909e+33
147,85.2497615238972
148,9.387252285229751e+33
149,18.200679863855537
150,7.1691148501871105
151,3.854596492877019e+33
152,1.2977851537275456e+34
153,1.7144530973275323e+34
154,10.00891256721496
155,1.4698413471543324e+34
156,78.05133944049757
157,-1629.2241113772163
158,2.248244610995405e+33
159,29.565677324487297
160,6.349224560023334e+33
161,8.473091286527752e+33
162,-9325.246176643963
163,20.23354347015161
164,12.732741420011957
165,58.302480115153436
166,-6808.883775150274
167,-4641.640145835066
168,-3209.8014950022666
169,23.33870200778796
170,-6607.038025963272
171,-4946.405587261398
172,-1716.9625676568744
173,-2386.161449523922
174,226.89068996355897
175,-29.677583287658575
176,-821.953055981919
177,37.52911466050376
178,-3569.2356286962313
179,182.48456030490334
180,-735.2358320634337
181,-268.76754396965356
182,75.23394848617748
183,
184,
185,
186,
187,
188,5.818601866148276e+30
189,
190,
191,
192,
193,6.220498170852678e-22
194,
195,-4.945594951953475e+31
196,
197,73.93373837608907
198,-2.751626011759485e+34
199,-3.386165383553411e+33
200,1.6549416161763412e+33
201,69.55831219189142
202,-5890.030734347023
203,4.521063888289104e+33
204,35.668544305917194
205,-5503.427683486403
206,8.8966572857669e+33
207,1.2635759182764592e+34
208,26.971134798316186
209,22.394336200841042
210,-4755.964896000512
211,1.2174858680266232e+34
212,1.3254417760360675e+34
213,1.1190659721516388e+34
214,
215,4.469339849667333e+33
216,2.496773057419074e+34
217,7.791645107634394e+33
218,8.989946579739741e+33
219,
220,3.9414158252547322e+34
221,
222,1.1321577700860466e+34
223,
224,2.832511473865117e+34
225,
226,
227,
228,
229,1.497213521584093e+35
230,
231,2.789222465448314e+34
232,-3650.3261859309305
233,1.3086442740511551e+34
234,-1472.07028452765
235,1.349578426970379e+34
236,-835.1313909948009
237,71.77559744410561
238,7.964097139046543e+33
239,23.517200656365002
240,-5597.898726533436
241,-9419.931366904988
242,37.79079866977955
243,-54.500641401802326
244,-3946.139548885385
245,-5847.917692809127
246,49.67272197317194
247,12.552431079270008
248,-5736.540519672421
249,10.793027227005135
250,-1441.5124365737267
251,23.32525409791104
252,-2746.4404388636844
253,-4403.392033667154
254,12.416600708205063
255,-4926.315202942778
256,-3130.0640914141172
257,-6123.218406913588
258,-598.9079718529604
259,-4501.1075689168865
260,-2803.9272298329956
261,-607.6726733373946
262,-6101.978294860262
263,-5807.050540757526
264,-882.1296533075905
265,-2887.3537383737303
266,7.281771097038021
267,-2444.0490846448533
268,-4.779736558762546e+34
269,-6839.789697279326
270,52.1636385858694
271,55.27344369307682
272,32.44442668663514
273,136.8149847831497
274,248.25227252422565
275,-3907.520677745554
276,-958.7318129154247
277,-6191.1368150889375
278,-4393.0065131783385
279,235.22407445744997
280,-4813.62282725027
281,-3534.1118188825744
282,101.04872779452657
283,-1058.6183468347554
284,-861.6425756797722
285,41.809118049833835
286,-5885.316615928655
287,-1369.6334386317837
288,26.34366227004475
289,-4283.410017333997
290,186.44595811148494
291,-1984.2574496884079
292,-3001.9409178918777
293,2.3383663119652156
294,-918.3854633338476
295,-5663.127175286932
296,-3042.486079799127
297,5.3397158821309185
298,-8.71557231352004e+32
299,4.879207662530062e+34
300,2.2689956075265975e+34
301,2.701884542459617e+34
302,1.4721802197083232e+34
303,-840.849506574094
304,-928.2666611620643
305,-2336.0108028908744
306,-1.2199394088703766e+35
307,96.84853964030954
308,52.57881449112811
309,81.99796420822646
310,35.187170216179574
311,13.458695246791569
312,15.540846864039697
313,6.393127008062312
314,82.7800985154375
315,165.3247116355954
316,122.6388157714387
317,73.11550989188096
318,253.1825152377318
319,107.03116312967265
320,48.75719558730981
321,92.17918274758654
322,43.049326484424704
323,31.199941225469605
324,14.666936405911555
325,19.579050399477705
326,51.49668316508073
327,46.0601856024681
328,137.2499107928238
329,132.5249970255619
330,109.3176784179103
331,75.25378191928745
332,49.155714103499385
333,57.8104249221025
334,61.120742035783046
335,9.750069762695547
336,23.994037707082192
337,20.811326316905753
338,36.800900141075545
339,109.4676031322018
340,115.41736638427042
341,176.01119264628144
342,231.6529160487799
343,119.01482491160174
344,231.64055257736277
345,4.4681688663737935
346,11.011758413549488
347,41.27672163959931
348,25.72394047343104
349,14.267406983563445
350,86.88974504867585
351,52.52510485825715
352,145.69712461926056
353,238.51772409636177
354,230.27541982649788
355,234.40165148824883
356,74.95328175902628
357,97.65050778130116
358,21.497725774310233
359,1.1440165727718237
